ticker,company_name,composite_score,grade,grade_label,strategy,setup,technical_score,fundamental_score,analyst_score,rs_score,volume_score,13f_score,rs_vs_spy
GEN,Gen Digital Inc.,72.8,B,Moderate Accumulation,Swing,Base,68,85,75,100,50.0,50,
ADBE,Adobe Inc.,72.8,B,Moderate Accumulation,Swing,Base,68,85,75,100,50.0,50,
INCY,Incyte Corporation,72.5,B,Moderate Accumulation,Swing,Base,66,90,70,100,50.0,50,
UAL,"United Airlines Holdings, Inc.",72.5,B,Moderate Accumulation,Swing,Base,68,80,80,100,50.0,50,
MSFT,Microsoft Corporation,72.5,B,Moderate Accumulation,Swing,Base,68,80,80,100,50.0,50,
DAL,"Delta Air Lines, Inc.",72.2,B,Moderate Accumulation,Swing,Base,66,85,75,100,50.0,50,
LYV,"Live Nation Entertainment, Inc.",72.2,B,Moderate Accumulation,Swing,Base,66,85,75,100,50.0,50,
CPAY,"Corpay, Inc.",72.0,B,Moderate Accumulation,Swing,Base,68,85,70,100,50.0,50,
IQV,IQVIA Holdings Inc.,72.0,B,Moderate Accumulation,Swing,Base,66,80,80,100,50.0,50,
MKC,"McCormick & Company, Incorporated",72.0,B,Moderate Accumulation,Swing,Base,68,85,70,100,50.0,50,
APO,"Apollo Global Management, Inc.",71.8,B,Moderate Accumulation,Swing,Base,68,80,75,100,50.0,50,
UHS,"Universal Health Services, Inc.",71.8,B,Moderate Accumulation,Swing,Base,68,80,75,100,50.0,50,
NEM,Newmont Corporation,71.5,B,Moderate Accumulation,Swing,Base,66,85,70,100,50.0,50,
LVS,Las Vegas Sands Corp.,71.5,B,Moderate Accumulation,Swing,Base,66,85,70,100,50.0,50,
META,"Meta Platforms, Inc.",71.5,B,Moderate Accumulation,Swing,Base,68,75,80,100,50.0,50,
GDDY,GoDaddy Inc.,71.2,B,Moderate Accumulation,Swing,Base,66,80,75,100,50.0,50,
CI,The Cigna Group,71.2,B,Moderate Accumulation,Swing,Base,66,80,75,100,50.0,50,
CCL,Carnival Corporation & plc,71.0,B,Moderate Accumulation,Swing,Base,68,80,70,100,50.0,50,
RCL,Royal Caribbean Cruises Ltd.,71.0,B,Moderate Accumulation,Swing,Base,68,80,70,100,50.0,50,
NVDA,NVIDIA Corporation,71.0,B,Moderate Accumulation,Swing,Base,66,75,80,100,50.0,50,
