ticker,company_name,composite_score,grade,grade_label,strategy,setup,technical_score,fundamental_score,analyst_score,rs_score,volume_score,13f_score,rs_vs_spy,sector
APA,APA Corporation,71.9,B,Moderate Accumulation,Trend,Base,93,68,57,100.0,50.0,50,41.7,Energy
AIZ,"Assurant, Inc.",68.6,B,Moderate Accumulation,Trend,Breakout,90,80,67,66.2,50.0,50,6.5,Financials
BMY,Bristol-Myers Squibb Company,68.5,B,Moderate Accumulation,Swing,Base,78,76,57,56.2,50.0,50,2.5,Health Care
ADP,"Automatic Data Processing, Inc.",67.8,B,Moderate Accumulation,Swing,Breakout,95,80,60,26.2,50.0,50,-9.5,Industrials
ALL,The Allstate Corporation,66.2,B,Moderate Accumulation,Swing,Breakout,95,80,67,46.5,50.0,50,-1.4,Financials
ALB,Albemarle Corporation,64.8,C,Neutral,Swing,Base,57,68,70,76.5,50.0,50,10.6,Materials
BK,The Bank of New York Mellon Corporation,64.6,C,Neutral,Trend,Breakout,82,68,67,76.5,50.0,50,10.6,Financials
AMZN,"Amazon.com, Inc.",64.5,C,Neutral,Swing,Base,58,76,75,69.0,50.0,50,7.6,Consumer Discretionary
BKR,Baker Hughes Company,63.9,C,Neutral,Swing,Base,58,76,67,78.0,50.0,50,11.2,Energy
AKAM,"Akamai Technologies, Inc.",63.3,C,Neutral,Trend,Breakout,90,52,70,100.0,50.0,50,43.4,Information Technology
AMD,"Advanced Micro Devices, Inc.",62.3,C,Neutral,Trend,Breakout,77,64,70,100.0,50.0,50,80.2,Information Technology
AFL,Aflac Incorporated,61.9,C,Neutral,Swing,Breakout,95,84,45,44.0,50.0,50,-2.4,Financials
LNT,Alliant Energy Corporation,61.0,C,Neutral,Swing,Base,73,64,67,43.0,50.0,50,-2.8,Utilities
ABNB,"Airbnb, Inc.",59.6,C,Neutral,Swing,Base,57,76,70,48.5,50.0,50,-0.6,Consumer Discretionary
AMT,American Tower Corporation,59.2,C,Neutral,Swing,Base,78,64,70,34.2,50.0,50,-6.3,Real Estate
AAPL,Apple Inc.,58.4,C,Neutral,Trend,Breakout,90,76,67,55.2,50.0,50,2.1,Information Technology
ADM,Archer-Daniels-Midland Company,58.2,C,Neutral,Trend,Breakout,90,60,40,94.5,50.0,50,17.8,Consumer Staples
BIIB,Biogen Inc.,58.0,C,Neutral,Swing,Base,58,72,70,37.8,50.0,50,-4.9,Health Care
AME,"AMETEK, Inc.",58.0,C,Neutral,Swing,Base,57,72,70,40.5,50.0,50,-3.8,Industrials
AVB,"AvalonBay Communities, Inc.",57.9,C,Neutral,Swing,Base,73,68,57,43.5,50.0,50,-2.6,Real Estate
